"life_exp","exp_edu","gni","mm_ratio","adol_birth","parliament","edu_ratio","labour_ratio"
57.5,10.9,15,470,60.3,35.1,0.785483870967742,0.927536231884058
63.1,8.5,110,320,73.3,22.2,0.397129186602871,0.36283185840708
62.6,9.9,72,220,62.1,2.7,0.524137931034483,0.952702702702703
63.8,9.2,109,270,47,0.7,0.322097378277154,0.35180055401662
49.8,11.1,106,490,89.4,26.8,1.15263157894737,0.802721088435374
59.7,12.2,4,450,91.5,17.6,0.399503722084367,0.991389913899139
62.8,8.7,16,380,42,3.5,0.636363636363636,0.857746478873239
64.2,10.3,9,320,33.6,57.5,0.909090909090909,1.01289566236811
58.5,9.8,14,360,126.6,35,0.683582089552239,0.957070707070707
59.6,11.1,17,340,90.2,8.4,0.418518518518519,0.863346104725415
63.5,7,112,360,84,23.8,0.664835164835165,0.411842105263158
66.5,7.9,67,320,94.4,42.7,0.467532467532468,0.75
60.4,9.3,19,400,86.8,27.6,0.197986577181208,0.19874213836478
51.5,8.9,103,720,130.3,9.2,0.465116279069767,0.643734643734644
62.8,10.8,178,510,144.8,16.7,0.513888888888889,1.03803680981595
64.1,8.5,7,420,78.4,25.5,0.428571428571429,0.875699888017917
60.2,8.8,10,430,115.8,9.4,0.552380952380952,0.870928829915561
58.7,9.8,167,730,135.3,8.2,0.395061728395062,0.965846994535519
60.9,9.5,184,640,117.4,10.7,0.391857506361323,0.898148148148148
58,8.4,12,550,175.6,9.5,0.509933774834437,0.624078624078624
55.1,9.3,2,480,137.8,39.6,0.225806451612903,1.03260869565217
50.9,8.6,18,1100,100.7,12.4,0.460829493087558,0.952173913043478
58.7,7.8,13,400,115.4,13.3,0.28125,0.856666666666667
56.7,10.1,179,740,30.3,34.9,0.63855421686747,1.01585365853659
51.6,7.4,66,980,152,14.9,0.171717171717172,0.808080808080808
50.7,7.2,158,880,98.3,12.5,0.378277153558052,0.853113983548766
61.4,5.4,194,630,204.8,13.3,0.307692307692308,0.445930880713489
